"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Beza, the Bounding Spring","W","M","7230","1.46","4829","1.43","26113","87.6%","57.1%","4508","62.2%","6233","62.7%","10741","62.5%","15368","53.3%","9.2pp"
"Season of the Burrow","W","M","7390","1.52","4918","1.49","26136","86.3%","56.8%","4390","59.9%","6119","62.9%","10509","61.7%","15551","53.4%","8.3pp"
"Warren Warleader","W","M","6781","1.38","4940","1.35","27428","89.2%","57.3%","4812","61.1%","6390","64.7%","11202","63.1%","16148","53.2%","9.9pp"
"Eluge, the Shoreless Sea","U","M","18881","3.53","3513","4.53","8947","43.9%","51.0%","1516","53.8%","2625","54.8%","4141","54.4%","4841","48.0%","6.4pp"
"Kitsa, Otterball Elite","U","M","12480","2.49","4511","2.66","21335","79.0%","54.4%","3956","60.0%","5965","57.3%","9921","58.4%","11419","50.9%","7.4pp"
"Season of Weaving","U","M","10320","2.11","5163","2.13","25689","81.9%","55.5%","4122","56.5%","7528","63.0%","11650","60.7%","13778","50.9%","9.8pp"
"Maha, Its Feathers Night","B","M","6579","1.35","5137","1.33","29208","90.7%","57.7%","4964","61.2%","7438","64.7%","12402","63.3%","16707","53.5%","9.8pp"
"Rottenmouth Viper","B","M","6739","1.38","5116","1.36","28949","92.3%","55.4%","4833","57.1%","7467","60.3%","12300","59.0%","16634","52.5%","6.5pp"
"Season of Loss","B","M","7684","1.60","5560","1.57","30818","88.8%","58.0%","5229","61.9%","7751","68.1%","12980","65.6%","17572","52.2%","13.4pp"
"Dragonhawk, Fate's Tempest","R","M","7325","1.52","4680","1.48","24338","84.9%","56.3%","4198","60.1%","5815","63.8%","10013","62.2%","14366","52.1%","10.1pp"
"Season of the Bold","R","M","12469","2.47","4126","2.58","18356","75.2%","53.1%","2974","52.0%","4366","54.7%","7340","53.6%","10952","52.7%","0.9pp"
"Stormsplitter","R","M","20634","3.96","2880","5.50","3802","22.6%","47.1%","608","41.0%","1021","43.8%","1629","42.7%","2177","50.3%","-7.6pp"
"Lumra, Bellow of the Woods","G","M","7479","1.48","5198","1.48","28114","89.0%","55.3%","4571","57.6%","7395","61.0%","11966","59.7%","16206","52.1%","7.6pp"
"Season of Gathering","G","M","7759","1.56","5401","1.57","29529","89.9%","55.6%","4755","56.7%","7592","63.1%","12347","60.6%","17089","51.9%","8.8pp"
"Glarb, Calamity's Augur","UBG","M","14004","2.75","5144","2.87","21991","70.9%","55.1%","3695","58.5%","6261","62.9%","9956","61.2%","12050","50.2%","11.0pp"
"Helga, Skittish Seer","WUG","M","18323","3.45","3482","4.39","7288","35.6%","50.7%","1199","52.5%","1991","55.0%","3190","54.1%","4116","48.1%","5.9pp"
"Hugs, Grisly Guardian","RG","M","13133","2.73","3946","2.80","13702","58.0%","54.1%","2182","56.6%","3193","59.7%","5375","58.4%","8353","51.4%","7.0pp"
"The Infamous Cruelclaw","BR","M","10768","2.26","4113","2.24","16110","65.3%","53.8%","2743","56.3%","3744","53.2%","6487","54.5%","9634","53.4%","1.2pp"
"Ral, Crackling Wit","UR","M","10528","2.19","4282","2.17","16994","67.1%","53.7%","2912","58.6%","4897","60.3%","7809","59.6%","9028","48.4%","11.3pp"
"Ygra, Eater of All","BG","M","7774","1.59","5344","1.56","28215","85.2%","56.7%","4761","61.3%","7489","63.7%","12250","62.7%","15953","52.0%","10.8pp"
"Swords to Plowshares","W","M","1534","1.77","840","1.81","4424","86.6%","55.8%","759","55.5%","1048","60.9%","1807","58.6%","2603","53.7%","4.9pp"
